time,open,high,low,close,volume
570,148.15,148.94,147.28,147.7301,472982
585,147.81,147.81,146.06,146.3,395969
600,146.22,146.38,145.1,145.96,450524
615,145.96,146.34,144.56,145.36,485288
630,145.3211,145.45,144.44,144.64,435712
645,144.5809,145.69,144.5,145.24,217385
660,145.15,145.56,144.89,145.2635,177773
675,145.31,145.49,144.75,145.23,199336
690,145.175,145.65,144.76,145.61,157047
705,145.58,146.34,145.5,145.71,140723
720,145.67,145.99,145.3701,145.93,80596
735,145.91,145.99,145.475,145.65,70824
750,145.69,147.13,145.54,147.05,185249
765,147.02,147.02,146.1,146.32,107273
780,146.28,146.295,145.5,146.0201,137919
795,146.0078,146.13,145.62,145.87,86024
810,145.83,145.96,145.2,145.34,67297
825,145.47,145.53,145.0601,145.2599,77582
840,145.07,145.8072,145.07,145.65,93366
855,145.59,145.854,145.47,145.68,67987
870,145.63,145.73,144.79,144.99,177886
885,145.05,145.27,144.9301,145.175,78405
900,145.12,145.4,145.1139,145.23,66162
915,145.19,145.36,144.41,144.5501,163343
930,144.55,144.69,144.01,144.07,332147
945,144.11,144.3,143.6,143.69,538452
