time,open,high,low,close,volume
570,36.53,36.55,36.33,36.52,245990
585,36.52,36.6,36.38,36.48,194959
600,36.45,36.49,36.3,36.4,72897
615,36.42,36.42,36.12,36.14,48477
630,36.14,36.21,36.06,36.06,54734
645,36.05,36.15,35.9502,36.13,93344
660,36.14,36.25,36.05,36.16,83200
675,36.17,36.18,36.04,36.16,67149
690,36.14,36.24,36.09,36.18,16415
705,36.18,36.3,36.16,36.17,13120
720,36.18,36.32,36.12,36.12,21244
736,36.11,36.25,36.1,36.19,24386
750,36.17,36.19,35.84,35.85,58800
765,35.85,36.11,35.83,35.93,23637
780,35.92,36.03,35.88,35.96,14460
795,35.95,36.06,35.83,35.83,27700
810,35.82,35.85,35.51,35.55,33423
825,35.53,35.76,35.51,35.64,16534
840,35.648,35.66,35.2,35.24,66959
855,35.22,35.64,35.2,35.57,42614
870,35.57,35.67,35.43,35.5,48710
885,35.47,35.58,35.32,35.56,48871
900,35.57,35.605,35.33,35.515,62354
915,35.5099,35.73,35.47,35.65,52735
930,35.66,35.9,35.65,35.8898,100362
945,35.88,36.08,35.86,36.07,104871
