time,open,high,low,close,volume
570,32.77,32.77,32.49,32.63,102487
585,32.58,32.63,32.33,32.45,57532
600,32.46,32.56,32.32,32.39,175281
615,32.39,32.51,32.36,32.47,212538
630,32.45,32.5,32.37,32.48,187210
645,32.49,32.57,32.41,32.47,151199
660,32.47,32.58,32.33,32.34,150813
675,32.35,32.39,32.15,32.36,86615
690,32.37,32.41,32.18,32.18,128653
705,32.21,32.38,32.17,32.35,67561
720,32.36,32.37,32.19,32.25,19007
735,32.25,32.45,32.19,32.43,31124
750,32.44,32.48,32.29,32.452,40495
765,32.46,32.51,32.35,32.46,26790
780,32.46,32.57,32.446,32.57,33873
795,32.57,32.63,32.53,32.61,28686
810,32.63,32.69,32.57,32.68,72363
825,32.66,32.77,32.62,32.76,135867
840,32.76,32.87,32.76,32.83,64796
855,32.83,32.85,32.64,32.78,78281
870,32.77,32.91,32.75,32.91,134296
885,32.92,33.0,32.89,32.97,67752
900,32.96,33.04,32.93,32.99,145405
915,32.98,33.12,32.9701,33.1,97839
930,33.1,33.11,32.89,32.98,115982
945,32.99,32.99,32.92,32.98,128974
