time,open,high,low,close,volume
570,198.55,200.35,194.75,199.4,240227
585,199.23,201.83,198.6691,201.05,169741
600,201.165,201.88,199.15,200.0799,147861
615,200.24,202.15,199.89,201.52,107404
630,201.51,202.83,201.29,201.99,141408
645,201.93,202.66,199.92,200.0,118004
660,200.15,200.7299,199.66,200.394,113710
675,200.525,200.89,200.18,200.685,53196
690,200.665,200.74,198.86,199.27,80201
705,199.2,199.86,198.62,199.475,72611
720,199.475,199.48,198.075,198.39,57744
735,198.4523,199.88,197.11,199.88,125439
750,199.83,200.08,199.17,199.27,80204
765,199.2078,200.03,199.1,199.5832,86911
780,199.685,200.29,199.47,199.47,70513
795,199.51,200.7899,199.3825,200.4925,81182
810,200.37,201.355,200.17,200.45,92883
825,200.54,203.25,200.455,202.77,129569
840,202.5,206.72,200.58,204.925,322297
855,204.915,206.2,203.21,204.14,164771
870,204.0423,205.48,203.3,204.405,106786
885,204.29,206.7,204.06,205.91,193622
900,206.09,209.0667,205.75,209.02,200260
915,208.93,210.86,208.6,210.69,335818
930,210.7,212.2,209.89,210.06,333569
945,210.02,211.39,209.44,210.74,532629
