time,open,high,low,close,volume
570,83.67,84.7,82.17,84.515,230072
585,84.43,84.56,83.81,84.19,135806
600,84.15,84.2276,83.49,83.91,79931
615,83.91,84.53,83.7,84.26,138137
630,84.27,84.75,84.12,84.43,86367
645,84.3591,84.55,84.02,84.31,65537
660,84.34,84.455,83.83,84.4414,40490
675,84.32,84.53,83.92,84.0,46655
690,84.08,84.18,83.57,83.6,60748
705,83.597,83.95,83.49,83.8297,33082
720,83.8297,84.06,83.77,83.8,54346
735,83.81,84.0229,83.78,83.81,32166
750,83.8418,84.0,83.68,83.72,29808
765,83.74,83.8,83.51,83.54,30716
780,83.53,83.8,83.525,83.765,33557
795,83.765,83.835,83.63,83.81,47751
810,83.79,83.98,83.67,83.94,28425
825,83.93,84.05,83.845,83.95,46539
840,83.955,84.14,83.9,84.08,28259
855,84.105,84.14,83.94,84.11,26264
870,84.105,84.24,83.98,84.02,47880
885,84.05,84.145,83.93,84.04,32797
900,84.02,84.06,83.83,83.85,49506
915,83.87,83.96,83.6889,83.755,39189
930,83.775,83.99,83.71,83.8689,63675
945,83.8758,84.08,83.78,83.78,177267
