time,open,high,low,close,volume
570,72.0,72.4772,66.1,66.1,613617
585,66.25,68.41,66.25,67.1001,244348
600,67.575,70.23,67.36,69.04,240328
615,69.0,69.0,67.8189,68.13,113472
630,68.155,68.79,67.81,68.1,117436
645,68.15,69.15,68.0493,68.91,59439
660,68.91,69.9573,68.7201,69.795,88214
675,69.7,69.8871,69.3,69.4,42064
690,69.22,69.69,68.58,68.6958,47579
705,68.9,69.03,67.68,67.7232,84658
720,67.72,68.3036,67.3,67.5,105968
735,67.82,68.47,67.5602,68.3,107084
750,68.2433,68.39,68.0101,68.27,37810
765,68.1201,68.5,67.28,67.28,49760
780,67.33,67.5832,66.41,66.86,149927
795,66.73,67.5,66.6,67.5,55391
810,67.57,68.39,67.56,67.88,83306
825,67.87,68.0,67.2101,67.7199,36321
840,67.64,67.8,67.15,67.15,84923
855,67.34,67.6,66.9001,67.5511,88708
870,67.549,67.9,67.33,67.8199,42221
885,67.755,68.1,67.42,67.46,36662
900,67.4796,67.76,67.0601,67.71,54084
915,67.7,67.73,67.01,67.21,49893
930,67.46,67.5,66.66,67.44,109348
945,67.22,67.22,66.06,66.08,256444
