time,open,high,low,close,volume
570,44.38,44.85,44.0,44.2,2525135
585,44.18,44.4,43.97,43.975,1152837
600,43.98,44.06,43.58,43.64,1208397
615,43.62,44.19,43.49,44.095,1223744
630,44.09,44.13,43.72,43.905,675232
645,43.9,43.905,42.52,42.81,1855177
660,42.8,43.0,42.55,42.55,971014
675,42.5581,42.58,42.1,42.21,1671682
690,42.195,42.59,42.05,42.07,1146436
705,42.07,42.71,42.06,42.4982,709895
720,42.5,42.555,42.28,42.41,676030
735,42.42,42.52,42.17,42.1756,473707
750,42.175,42.2,42.05,42.13,372433
765,42.13,42.42,42.13,42.3,448067
780,42.306,42.48,42.29,42.43,414203
795,42.44,42.9079,42.435,42.9,454434
810,42.88,43.02,42.75,43.01,398538
825,43.0,43.09,42.8004,43.0,329371
840,43.0,43.175,42.81,43.125,395674
855,43.105,43.39,43.0871,43.27,501376
870,43.29,43.325,42.9331,43.0,553414
885,43.0,43.03,42.841,42.89,339004
900,42.89,43.27,42.89,43.27,855975
915,43.2761,43.6,43.23,43.555,643473
930,43.55,43.63,43.32,43.355,829892
945,43.355,43.46,43.145,43.1705,1352759
