time,open,high,low,close,volume
570,8.39,8.41,8.13,8.2258,2044491
585,8.225,8.295,8.15,8.25,1487903
600,8.25,8.375,8.24,8.255,947791
615,8.26,8.37,8.2101,8.355,614116
630,8.355,8.41,8.3331,8.3814,605285
645,8.385,8.385,8.3,8.3415,541470
660,8.34,8.35,8.27,8.285,482851
675,8.285,8.3587,8.26,8.2659,454751
690,8.262,8.29,8.25,8.275,341360
705,8.28,8.35,8.27,8.35,357403
720,8.3495,8.4,8.34,8.375,324214
735,8.38,8.41,8.36,8.405,359747
750,8.405,8.45,8.37,8.3796,322333
765,8.375,8.39,8.35,8.375,250118
780,8.37,8.39,8.32,8.3809,300885
795,8.3899,8.4,8.35,8.38,323339
810,8.375,8.49,8.365,8.44,285801
825,8.44,8.51,8.435,8.5,416998
840,8.495,8.55,8.475,8.475,468804
855,8.475,8.55,8.46,8.53,313454
870,8.535,8.555,8.48,8.5,315915
885,8.495,8.55,8.485,8.52,216828
900,8.52,8.54,8.5,8.5104,286841
915,8.515,8.54,8.475,8.525,336483
930,8.525,8.63,8.5,8.585,1051360
945,8.585,8.605,8.54,8.54,1294843
