time,open,high,low,close,volume
570,77.74,79.59,77.74,79.22,381620
585,79.17,79.73,79.07,79.48,198381
600,79.49,79.7,78.59,78.86,175735
615,78.8,79.4,78.68,79.331,94624
630,79.32,79.34,78.7,78.8,89959
645,78.8,79.23,78.28,78.3699,87372
660,78.28,78.36,77.59,77.7667,119821
675,77.77,77.89,76.87,77.15,128553
690,77.09,77.41,76.79,77.2601,68155
705,77.3499,77.3499,76.8,76.9399,52301
720,76.93,77.39,76.9,76.96,51537
735,76.95,77.0248,76.8,76.8908,30465
750,76.98,77.05,76.64,76.85,58519
765,76.85,77.34,76.85,77.34,32684
780,77.34,78.14,77.2,78.14,69320
795,78.209,78.24,77.7,77.9044,41407
810,77.85,77.88,77.481,77.74,25997
825,77.8266,78.24,77.7,77.88,43613
840,77.93,78.36,77.82,77.92,41759
855,77.91,77.96,77.66,77.95,30365
870,77.95,77.95,77.45,77.55,60678
885,77.59,77.96,77.59,77.82,34521
900,77.78,78.25,77.7725,78.242,52188
915,78.25,78.32,77.96,78.18,45409
930,78.17,78.39,77.75,78.33,96979
945,78.33,78.46,78.21,78.24,153020
