time,open,high,low,close,volume
570,120.98,122.15,120.7,121.94,7914
585,121.475,122.79,121.048,122.04,21842
600,122.11,122.405,121.8,121.92,22126
615,121.74,121.8,121.12,121.22,13253
630,121.12,121.6971,121.09,121.215,12280
645,121.095,121.57,121.095,121.31,11832
660,121.515,121.64,121.29,121.61,9117
677,121.86,121.86,121.52,121.52,7815
690,121.52,121.79,121.5,121.588,4721
705,121.645,121.8,121.5,121.71,17780
720,121.65,121.7395,121.51,121.69,23099
735,121.8,121.8,121.6,121.6,5861
750,121.74,121.81,121.62,121.64,11451
765,121.65,121.986,121.63,121.95,6365
783,122.012,122.12,121.94,122.0,2950
797,121.78,122.02,121.71,122.02,3382
811,122.11,122.17,121.86,122.0,12698
827,121.77,122.09,121.76,122.06,1213
841,121.93,122.29,121.74,122.14,3391
857,122.18,122.31,122.0,122.31,3034
873,122.3,122.44,122.25,122.44,1913
885,122.44,122.71,122.29,122.44,4158
901,122.41,122.55,122.22,122.31,8720
915,122.39,122.45,122.15,122.3,6403
930,122.195,122.56,122.195,122.3,8191
945,122.32,122.89,122.07,122.85,45398
