time,open,high,low,close,volume
570,14.35,14.39,14.27,14.28,185474
585,14.285,14.39,14.28,14.39,173570
600,14.385,14.41,14.36,14.38,95202
615,14.375,14.39,14.33,14.375,181520
630,14.38,14.4,14.35,14.38,141318
645,14.39,14.39,14.36,14.36,66352
660,14.36,14.37,14.35,14.37,272348
675,14.36,14.37,14.36,14.37,33191
690,14.365,14.37,14.36,14.365,55525
705,14.365,14.37,14.36,14.36,20856
720,14.36,14.37,14.32,14.325,79442
735,14.325,14.325,14.25,14.295,432300
750,14.3,14.33,14.295,14.325,58905
765,14.33,14.34,14.32,14.335,58691
780,14.33,14.34,14.33,14.335,44073
795,14.335,14.34,14.31,14.32,96926
810,14.315,14.34,14.31,14.34,126017
825,14.34,14.34,14.33,14.33,49122
840,14.33,14.34,14.33,14.33,55455
855,14.33,14.335,14.31,14.32,117235
870,14.325,14.34,14.32,14.325,135399
885,14.325,14.35,14.32,14.35,101012
900,14.35,14.35,14.34,14.345,81102
915,14.35,14.37,14.34,14.37,321325
930,14.37,14.39,14.36,14.365,205869
945,14.37,14.4,14.36,14.385,830289
