time,open,high,low,close,volume
570,158.0,159.13,156.65,159.08,246951
585,158.97,159.035,156.9675,157.265,131779
600,157.19,157.19,155.55,155.605,143026
615,155.62,156.22,155.21,155.4,122975
630,155.38,155.97,155.08,155.3394,80338
645,155.285,155.36,154.0,154.155,115144
660,154.155,154.45,153.07,153.23,196348
675,153.2976,153.2976,152.42,152.575,215680
690,152.54,153.0299,152.2,152.64,204813
705,152.64,152.84,152.13,152.44,143715
720,152.44,153.06,152.34,152.59,141434
735,152.63,152.77,152.33,152.695,100148
750,152.695,153.23,152.49,153.09,76267
765,153.12,153.14,152.7,152.82,88949
780,152.87,152.9706,152.7,152.9,59745
795,152.865,152.8994,152.24,152.42,112457
810,152.41,152.41,151.52,151.6209,89533
825,151.62,151.9,151.32,151.815,85284
840,151.84,151.91,151.6401,151.8,76337
855,151.77,151.8393,151.66,151.8393,71901
870,151.78,152.48,151.71,152.25,733832
885,152.25,152.42,151.94,152.27,228920
900,152.3,153.34,152.295,153.34,118699
915,153.34,153.86,153.32,153.84,160134
930,153.84,153.9,152.71,152.735,176279
945,152.735,153.12,152.45,152.611,490424
