time,open,high,low,close,volume
570,53.05,55.35,52.7,55.14,1456501
585,55.14,56.5,55.04,56.41,1077162
600,56.44,56.64,56.0506,56.11,1146719
615,56.11,56.322,55.34,55.93,633878
630,55.92,56.2333,55.42,55.6125,551674
645,55.65,55.95,55.0,55.92,485711
660,55.91,56.28,55.64,56.215,481297
675,56.23,57.11,56.01,57.075,554358
690,57.08,58.1365,57.05,57.72,1171907
705,57.7199,57.9,57.17,57.3,318442
720,57.29,57.56,57.02,57.11,394650
735,57.115,57.53,57.08,57.47,374454
750,57.4817,57.73,57.23,57.42,282440
765,57.415,57.51,57.1058,57.153,187755
780,57.17,57.28,56.89,56.94,171625
795,56.92,56.96,56.4,56.44,266310
810,56.4599,56.775,56.44,56.64,161294
825,56.5901,56.75,56.39,56.495,119323
840,56.4901,56.58,56.08,56.1,129360
855,56.1,56.155,55.83,56.1499,165037
870,56.135,56.29,56.0,56.05,162941
885,56.06,56.2,55.8601,56.11,139865
900,56.11,56.36,56.0,56.07,114595
915,56.07,56.33,56.06,56.33,165354
930,56.3001,56.64,56.1,56.235,284282
945,56.235,56.27,55.84,55.85,700809
