time,open,high,low,close,volume
570,54.36,56.0,52.38,52.3891,5163668
585,52.385,53.31,51.79,52.0,2779254
600,51.8753,52.4185,50.56,50.694,2186479
615,50.7,51.05,50.41,50.6291,1400554
630,50.625,50.67,50.15,50.25,1588246
645,50.27,50.69,50.02,50.039,1435007
660,50.035,50.87,50.03,50.16,1142396
675,50.16,51.43,50.11,51.19,1104279
690,51.18,51.98,50.815,51.85,816397
705,51.85,52.2,51.41,51.99,931514
720,52.0,52.5,51.8,52.0693,605082
735,52.07,52.08,50.7606,50.8922,1024284
750,50.91,51.75,50.78,51.47,726636
765,51.435,51.47,50.92,51.16,438111
780,51.1487,51.45,51.03,51.32,294907
795,51.2971,52.1,51.2971,51.82,504202
810,51.84,51.84,51.0,51.14,379775
825,51.14,51.1998,50.9201,51.15,434880
840,51.14,51.5456,50.78,51.4701,529263
855,51.49,51.52,51.0,51.3588,261738
870,51.3,51.32,50.6601,50.71,374246
885,50.7099,50.78,50.52,50.65,384434
900,50.62,50.63,50.31,50.46,672284
915,50.44,50.67,50.4101,50.6098,485722
930,50.59,50.63,50.26,50.315,640093
945,50.31,50.93,50.19,50.8931,1126664
