time,open,high,low,close,volume
570,34.85,35.04,34.2101,34.88,97042
585,34.9,35.14,34.82,34.9,126071
600,34.99,35.05,34.59,34.7752,68734
615,34.81,35.15,34.79,34.885,69858
630,34.85,35.35,34.71,35.244,54841
645,35.24,35.268,34.78,34.8397,33553
660,34.81,34.83,34.309,34.44,74165
675,34.5399,34.63,34.38,34.4,57352
690,34.44,34.88,34.38,34.64,103158
705,34.67,34.74,34.51,34.74,19191
720,34.74,34.94,34.67,34.83,29054
735,34.83,34.94,34.58,34.71,55741
750,34.69,34.84,34.68,34.72,29862
766,34.77,35.12,34.75,35.03,32585
780,35.0201,35.24,34.94,34.94,43630
795,34.964,35.25,34.93,35.2,23324
810,35.22,35.74,35.19,35.6983,44803
825,35.73,35.83,35.62,35.62,39894
840,35.64,35.66,35.3201,35.41,22743
855,35.42,35.54,35.29,35.29,46982
870,35.27,35.58,35.27,35.41,32521
885,35.38,35.405,35.06,35.23,24779
900,35.235,35.44,35.2,35.39,32547
915,35.41,35.59,35.37,35.545,30671
930,35.56,35.72,35.53,35.68,75811
945,35.68,35.77,35.66,35.715,133413
