time,open,high,low,close,volume
570,5.37,5.41,5.37,5.4,522587
585,5.4,5.41,5.39,5.39,1024524
600,5.395,5.4,5.37,5.38,1014692
615,5.385,5.39,5.37,5.375,481400
630,5.37,5.41,5.37,5.4,575073
645,5.4,5.41,5.39,5.39,252329
660,5.39,5.4,5.39,5.39,126512
675,5.39,5.43,5.39,5.425,580473
690,5.425,5.425,5.4,5.4,439233
705,5.405,5.41,5.4,5.405,173011
720,5.405,5.42,5.4,5.42,336706
735,5.415,5.45,5.415,5.435,866782
750,5.435,5.45,5.43,5.44,388351
765,5.435,5.44,5.42,5.425,1030332
780,5.43,5.45,5.43,5.435,462367
795,5.435,5.45,5.43,5.435,723732
810,5.435,5.44,5.42,5.4233,271303
825,5.42,5.44,5.42,5.425,258772
840,5.425,5.44,5.41,5.415,664801
855,5.41,5.44,5.41,5.44,335038
870,5.44,5.44,5.42,5.425,549882
885,5.425,5.4281,5.4,5.4,895805
900,5.4,5.42,5.39,5.41,820396
915,5.415,5.43,5.41,5.425,619889
930,5.425,5.43,5.42,5.43,573853
945,5.43,5.43,5.415,5.43,2056840
