time,open,high,low,close,volume
570,189.47,191.6999,187.68,190.205,62502
585,190.095,191.57,188.8,190.96,51327
600,190.95,194.47,190.93,193.5001,119577
615,193.9,196.49,193.9,196.32,55605
630,196.37,198.57,195.81,198.57,107353
645,198.57,199.8,198.48,199.4,58543
660,199.392,199.8,198.79,199.715,65970
675,199.775,200.19,198.96,199.16,74182
690,199.11,200.7,198.83,200.39,66527
705,200.215,200.215,198.92,198.92,22860
720,199.05,199.37,197.915,198.005,104251
735,197.9088,198.75,196.04,196.56,36848
750,196.35,196.71,195.29,195.45,32494
765,195.37,195.4277,194.41,195.33,31378
780,195.365,195.62,193.34,193.9313,28240
795,193.91,194.2099,193.46,193.615,28529
810,193.62,193.66,192.19,192.87,37066
825,192.73,193.12,191.48,192.025,33636
840,191.92,191.95,190.4,190.48,27279
855,190.48,191.14,190.46,190.75,37686
870,190.73,191.66,190.0,190.0,33596
885,190.02,191.41,189.62,190.82,50677
900,191.12,192.66,190.85,192.66,58613
915,192.46,192.46,191.24,192.05,58591
930,191.91,192.08,191.27,191.95,61020
945,191.9,193.0,191.26,192.63,231242
