time,open,high,low,close,volume
570,221.06,222.1939,218.25,218.25,67242
585,218.42,219.37,216.2,216.35,51832
600,216.34,216.83,214.45,214.45,58956
615,214.45,214.87,211.81,212.46,71428
630,212.26,212.87,209.99,210.5359,87309
645,210.475,213.39,210.26,213.375,46177
660,213.49,215.59,213.29,214.925,37920
675,214.975,215.6106,214.19,215.5512,31333
690,215.59,217.21,215.21,217.07,20284
705,217.1801,217.94,216.38,216.39,22134
720,216.21,218.01,216.12,217.75,19976
735,217.45,217.54,215.29,215.29,30473
750,215.34,215.68,214.29,214.68,40048
765,214.49,215.28,214.35,214.605,40266
780,214.72,215.63,214.63,214.715,34424
795,214.715,214.715,212.6,212.7903,31540
810,212.78,212.78,211.51,212.205,32021
825,212.11,213.0,211.86,212.1,92076
840,212.18,213.23,211.5,211.68,40851
855,211.77,211.785,210.5,210.74,40624
870,210.86,212.61,210.86,212.32,32504
885,212.23,213.12,211.7,212.57,44347
900,212.49,212.6,211.07,211.09,41529
915,211.16,213.04,211.16,213.04,34744
930,212.89,213.81,212.74,213.161,83017
945,213.2699,214.3,212.94,213.935,200735
