time,open,high,low,close,volume
570,137.58,137.76,135.72,136.72,255249
585,136.695,137.08,135.36,135.648,169974
600,135.68,135.8,134.7,134.75,129062
615,134.9,136.29,134.79,135.6,97841
630,135.535,137.6599,135.535,136.75,128419
645,136.84,139.81,136.63,139.79,124461
660,139.82,141.0,138.76,140.85,96433
675,140.86,142.04,140.6901,141.3009,157399
690,141.33,142.54,140.76,141.755,132378
705,141.79,143.18,141.16,142.79,127134
720,142.76,143.65,142.46,143.0,102384
735,143.0501,143.55,142.07,142.95,86182
750,142.8,142.84,141.26,142.7,114463
765,142.71,142.925,141.5,141.94,76074
780,142.01,143.24,141.81,142.94,111689
795,143.03,143.2,141.5,141.99,70509
810,142.16,143.11,141.59,141.7,58771
825,141.725,142.405,141.2,142.07,66944
840,142.11,142.67,140.35,140.48,83616
855,140.43,140.67,139.09,139.48,109150
870,139.4,140.39,139.03,140.32,110459
885,140.44,140.91,139.508,140.62,52823
900,140.85,141.37,140.28,140.73,71385
915,140.74,141.3,140.18,140.88,72373
930,140.89,142.34,140.135,142.224,139350
945,142.15,143.89,141.85,143.78,402440
