time,open,high,low,close,volume
570,40.21,41.41,40.05,41.3001,379547.0
585,41.35,42.1,41.18,41.76,248752.0
600,41.75,42.0,41.36,41.481,173717.0
615,41.4957,41.58,41.1,41.4,85695.0
630,41.4,41.56,41.135,41.36,68845.0
645,41.41,41.48,41.26,41.26,77391.0
660,41.26,41.28,41.09,41.19,44638.0
675,41.215,41.6311,41.215,41.55,155699.0
690,41.57,41.59,41.3146,41.43,104647.0
705,41.41,41.4531,41.31,41.37,36281.0
720,41.37,41.55,41.325,41.49,104284.0
735,41.49,41.5404,41.41,41.48,75342.0
750,41.47,41.5302,41.45,41.47,73371.0
765,41.47,41.51,41.44,41.46,58895.0
780,41.45,41.495,41.28,41.31,98174.0
795,41.3,41.31,41.17,41.201,72808.0
810,41.21,41.21,41.06,41.08,54805.0
825,41.075,41.095,40.96,41.014,64388.0
840,41.015,41.015,40.84,40.9049,59915.0
855,40.91,40.995,40.86,40.95,70396.0
870,40.9484,41.0,40.9,40.9422,40221.0
885,40.93,41.01,40.89,41.01,52602.0
900,41.0,41.04,40.87,40.87,57373.0
915,40.87,41.005,40.85,41.0,68794.0
930,41.0,41.13,40.96,41.07,91479.0
945,41.09,41.2389,41.04,41.09,186938.0
