,CRWD.US
0,-0.1326532518730333
1,0.1063829787233923
2,-0.7445848375451117
3,0.2449984638359965
4,-0.4500738001957317
5,-0.282923326909264
6,0.2222687245847258
7,-0.3782832488077946
8,-0.0738566423634315
9,0.1569354106791788
10,-0.6317071314407585
11,0.4096854025414962
12,0.1094075335983294
13,-0.0492386940383287
14,-0.3115501519756813
15,-0.3163471433471754
16,-0.2790093257911704
17,-0.4935568742678143
18,-0.0749538745387427
19,0.0268992814049084
20,-0.2426810477657917
21,-0.9056633109185064
22,0.4141828597971639
23,-0.2483507954986365
24,-0.0543562665010041
25,-0.9515583392373984
26,0.2064988782949991
27,-0.431254510570124
28,0.1177959843876295
29,0.1229191543162263
30,-0.0947374156546965
31,0.0086117506458774
32,0.4775064716994365
33,-0.3810025458695589
34,-0.4019250092548473
35,-0.3733456012456673
36,0.3772254539044573
37,-0.1129425052059412
38,0.049211643580702
39,0.2728280180829996
40,-0.2663233271014834
41,-0.357547436986686
42,-0.021244954323349
43,0.23667384930586
44,0.0494297920418187
45,-0.2477612996850053
46,-0.5194435549862951
47,0.0
48,-0.0142333558694874
49,-0.0534035887211539
50,-0.0300645503581146
51,0.5102489663059694
52,0.3279436007155141
53,-0.1018186925075558
54,0.0982111539810696
55,0.2553965643914079
56,-0.2876740157629366
57,-0.3097525780452705
58,-0.1904157410345994
59,-0.1802672533565538
60,-0.3721944473992234
61,0.0880336263654637
62,-0.72920941352793
63,-0.3168068730982605
64,-0.182900588150928
65,0.0946241921921038
66,-0.0731803513804372
67,0.0358422939068181
68,0.6065848315673462
69,-0.0081231324366361
70,-0.483263523431064
71,-0.121868167317816
72,0.3037449971412114
73,-0.1933404940923607
74,0.5837545383355829
75,0.2232251176784488
76,-0.4239766081871367
77,0.4619883154404273
78,1.002497118709186
79,-0.0447280262161103
80,-0.0513843491636204
81,0.3038231883224621
82,0.531960531960525
83,-0.1460732084550529
84,0.0553435114503747
85,0.3802281368821346
86,0.2205202380670113
87,0.2813770925943435
88,0.2703350230058244
89,0.0634874549825913
90,0.0622232689590241
91,0.0164833871005706
92,-0.2739014427050187
93,0.096716361577662
94,-0.0646766404026004
95,-0.3139799204394823
96,0.1560357463709927
97,-0.1515366766112713
98,0.1560283687943321
99,0.0283607487237673
100,1.128154665431809
101,-0.2243193069306868
102,-0.4662729250854789
103,0.3337054941548231
104,0.5405103514684647
105,0.3358925143953934
106,-0.026878623814458
107,-0.5482413806416803
108,0.2772109498325288
109,-0.0038503003234217
110,0.5513861234492257
111,-0.1995089011663745
112,-0.0537428023032577
113,0.2584474011678037
114,0.1910767173019967
115,0.0782801283030334
116,0.0114543163682293
117,0.2247619047618952
118,0.1445526475958595
119,-0.1543004095628051
120,0.0399878132378556
121,0.3226663629806866
122,0.0379463438697552
123,0.1402046229632453
124,0.0870783326392375
125,0.76316221424939
126,0.9287365907281834
127,0.9201532336813598
128,0.3368767779607853
129,-0.2175707104809216
130,-0.0075030012004733
131,0.3253187750065454
132,-0.3791006681180057
133,0.2545862972669437
134,-0.1800315055134716
135,0.3904133898716739
136,0.106363127449139
137,-0.2056843679880371
138,0.2350483154870706
139,-0.1756615338615527
140,0.2618703695074736
141,-0.0270330735672437
142,0.1898027540007409
143,-0.2008491900773094
144,0.1403524190031655
145,0.3494507941220223
146,0.2240035544365519
147,0.1238813697211879
148,0.1845563265908755
149,-0.1774514948042259
150,-0.6991564276545047
151,0.1261015570840734
152,0.3579706177571
153,0.648202710665884
154,0.0407793384684979
155,-0.0090628965017137
156,0.1899592944369007
157,0.0948895214857024
158,0.1759133964817259
159,0.0216461929758112
160,-0.1051847504683674
161,0.4625146543856689
162,-0.5123074838534828
163,-0.5061394947683829
164,0.1608882846136497
165,0.140296886314266
166,-0.1677319914774035
167,0.2442002442002406
168,-0.0588235294117626
169,0.0723458129860718
170,0.270562770562768
171,0.2518891687657441
172,-0.1396333498491069
173,-0.0856550356144611
174,0.7116959849603883
175,0.8794946550048601
176,0.7427413909520556
177,-1.0662306985141776
178,0.2018315151957331
179,-0.5072605485747784
180,0.0781669842200384
181,-0.1565787542202834
182,0.1124144672531719
183,-0.1738108644030403
184,0.4726749993908822
185,-0.2075296645344066
186,0.1073118384469044
187,0.2823574046466158
188,-0.268484198205228
189,0.1704075174059079
190,0.3831603453293338
191,-0.0922374872566618
192,-0.4486272979958141
193,0.0876979293544491
194,-0.1414910226385597
195,-0.2151378838255416
196,-0.5456958851580619
197,0.2989902950691175
198,0.0098019996079111
199,0.137039937353172
200,-0.3008511887290847
201,1.267840324567123
202,0.3896947391210161
203,0.1441233696043936
204,-0.3616113401316265
205,-0.7211538461538528
206,-0.0510166897456403
207,0.3232719479859018
208,0.3077925840092781
209,0.2113859328985092
210,0.1749449915232888
211,-0.3729181752353474
