,MU.US
0,0.8004268943436424
1,-0.9834298801023704
2,-0.067403612833644
3,0.1346257404415647
4,-0.2835155933576454
5,0.343087790111012
6,-0.3036437246963678
7,0.0539519827353739
8,0.4995155155800077
9,-0.4072227462606298
10,-0.0674217907227577
11,-0.24330900243308
12,0.2897769391468282
13,-0.3041773692037235
14,-0.0270453008789668
15,-0.2507964481800342
16,-0.2241847826087041
17,-0.0135888028264586
18,-0.2178945934903943
19,-0.2731121125221942
20,0.0477717873472962
21,0.3468443960826924
22,0.135832654170074
23,-0.3544165757906286
24,0.054495912806548
25,0.0353451909990764
26,0.327598314606739
27,0.5682644716583423
28,-0.3878672325789709
29,0.2722824187347069
30,0.47541743970315
31,0.1139701453814271
32,0.0365867778163848
33,-0.0695168578380283
34,0.1965772432932489
35,-1.6096815885324929
36,0.21689430798992
37,0.4230807846140483
38,0.3636152146097514
39,0.2436760269204084
40,-0.1336199384186476
41,-0.3673469387755075
42,-0.2699981641528096
43,0.0594834638307802
44,0.1422538186223094
45,0.091057479305109
46,0.313807531380765
47,0.127684271619268
48,0.1043599257884847
49,0.277520814061065
50,-0.8036597428288893
51,0.3265758826791553
52,-0.1542828931128116
53,0.823208984912935
54,-0.3223627655655024
55,-0.2711495410652477
56,-0.259012345679014
57,-0.1113584369774363
58,-0.1856116889549135
59,0.0495049504950396
60,0.0247463499133828
61,0.1112347052280353
62,0.0617588932806289
63,0.0432125439842098
64,0.1417827641474477
65,-0.0053017235533392
66,-0.0724271101953209
67,0.2989297576577798
68,0.0123001230012188
69,0.0615856649223547
70,0.0121681415929225
71,0.0122895416001046
72,-0.1168871116579499
73,-0.1293581372428286
74,-0.0863131935881718
75,-0.4876727174207717
76,-0.2444323737099302
77,-0.4912663755458508
78,0.2721829069134497
79,0.7697501688048525
80,0.0001350437069002
81,0.6305689747718674
82,0.3074255717072117
83,0.1738782051282079
84,-0.2543847904672616
85,-0.0401821591213516
86,0.0267809319764464
87,-0.0535905680600298
88,0.2539088600828514
89,0.0667735042735004
90,-0.0601322910402909
91,-0.073549077293384
92,0.2517050449054034
93,-0.3328426124196995
94,-0.0001338331555627
95,-0.0199451174620135
96,-0.0133877769596427
97,0.0401472064235545
98,-0.0870613447629222
99,-0.1206919672790712
100,1.530131826741993
101,-0.2537022833205371
102,1.4669787353775818
103,1.0962511499540004
104,0.1836547291092869
105,0.2290426019239448
106,-0.7267274195408876
107,0.0461201429724504
108,-0.4051863857374491
109,-0.3134359384090747
110,0.6689352866535875
111,-0.8844408239264412
112,-0.1923861715151941
113,0.8840864440078592
114,0.4658653016621626
115,-0.1051314027384875
116,0.2068402055991722
117,0.3050750372322157
118,0.4107244723331426
119,-0.1027866605756091
120,0.2847056143947158
121,0.4985835694050966
122,0.8092615488366853
123,-0.1576044129235625
124,-0.6686310063463321
