time,open,high,low,close,volume
570,174.53,176.6,174.05,175.28,435872
585,175.26,175.4399,173.88,174.7171,260293
600,174.91,176.48,174.84,175.9599,232822
615,175.91,176.96,175.65,176.31,226623
630,176.34,176.56,175.6,175.93,148941
645,175.98,176.09,174.42,174.495,202907
660,174.565,175.01,174.41,174.6086,92521
675,174.54,174.86,173.61,174.1275,152775
690,174.0754,174.5,173.99,174.35,115378
705,174.4,174.9,174.25,174.87,85636
720,174.84,174.89,174.33,174.33,58175
735,174.33,174.94,174.12,174.7,82520
750,174.641,175.09,174.41,175.0401,56532
765,175.09,175.16,174.28,174.315,72651
780,174.37,174.8,174.2933,174.4188,48218
795,174.36,174.99,174.36,174.68,37125
810,174.7,174.7,174.11,174.38,113740
825,174.4,174.71,173.9132,173.99,110274
840,173.96,174.45,173.9156,174.25,69452
855,174.29,174.42,173.7191,173.78,102307
870,173.815,174.47,173.65,174.35,93818
885,174.395,174.8,174.38,174.7001,83287
900,174.75,174.76,174.38,174.68,53258
915,174.68,175.2,174.68,175.03,100578
930,175.06,175.49,175.04,175.38,185957
945,175.37,176.0,175.37,175.88,426810
