time,open,high,low,close,volume
570,74.88,74.89,74.56,74.63,51767
585,74.6,74.77,74.56,74.76,62139
600,74.75,74.79,74.68,74.76,50464
615,74.76,74.79,74.49,74.65,26379
630,74.66,74.68,74.54,74.64,20137
645,74.67,74.815,74.64,74.81,12581
660,74.92,75.09,74.84,75.01,42942
675,75.04,75.049,74.8,74.82,20995
691,74.85,74.95,74.79,74.92,12450
705,74.92,74.99,74.9,74.91,6245
720,74.93,74.96,74.78,74.82,12371
735,74.81,74.99,74.8,74.965,22054
750,74.94,75.06,74.88,74.88,16749
765,74.89,74.97,74.86,74.96,8064
780,74.95,75.06,74.89,74.9,17722
795,74.9,74.9,74.69,74.76,25719
810,74.78,74.82,74.75,74.81,19731
827,74.79,74.91,74.78,74.8649,12519
840,74.88,74.96,74.87,74.92,11172
855,74.903,74.96,74.86,74.96,39515
870,74.97,74.99,74.92,74.96,8217
885,74.95,74.95,74.83,74.87,20878
900,74.87,74.94,74.85,74.93,15145
915,74.9207,74.93,74.78,74.81,24530
930,74.8195,74.97,74.8,74.95,33158
945,74.93,74.96,74.8909,74.91,37943
