time,open,high,low,close,volume
570,61.53,61.6,61.42,61.51,236800
585,61.53,61.53,61.45,61.53,140500
600,61.53,61.56,61.45,61.49,163800
615,61.49,61.5,61.36,61.3899,278600
630,61.39,61.49,61.35,61.47,120000
645,61.48,61.6,61.42,61.58,246800
660,61.57,61.64,61.4603,61.64,118500
675,61.64,61.64,61.54,61.58,147100
690,61.59,61.6,61.58,61.6,59700
705,61.6,61.6,61.52,61.52,51400
720,61.53,61.56,61.41,61.44,62500
735,61.43,61.5,61.37,61.49,17600
750,61.49,61.5,61.43,61.45,34500
765,61.45,61.46,61.33,61.33,45300
780,61.35,61.4,61.32,61.39,84400
795,61.4,61.44,61.38,61.39,85100
810,61.4,61.41,61.36,61.36,35400
825,61.36,61.36,61.32,61.34,65900
840,61.34,61.36,61.17,61.19,107000
855,61.17,61.3,61.17,61.27,76900
870,61.26,61.28,61.26,61.27,18100
885,61.27,61.29,61.2,61.26,89600
900,61.27,61.4,61.25,61.4,84900
915,61.44,61.44,61.34,61.36,107700
930,61.35,61.38,61.33,61.37,83300
945,61.37,61.4,61.27,61.39,136400
