time,open,high,low,close,volume
570,133.75,135.33,133.35,135.03,492528
585,134.96,135.65,133.7,135.56,332874
600,135.6,136.47,135.2501,135.335,340245
615,135.34,135.65,133.85,133.94,296857
630,133.96,134.13,132.76,132.76,194845
645,132.8,133.03,132.02,132.68,177391
660,132.67,132.9687,132.3149,132.81,117013
675,132.85,133.36,131.86,132.4,167084
690,132.39,132.82,132.3601,132.5,129074
705,132.4967,133.21,132.4,132.85,124934
720,132.85,133.4,132.72,132.92,123097
735,132.89,132.9,132.2804,132.7995,68471
750,132.8475,133.4777,132.83,132.83,169586
765,132.82,132.82,131.91,132.3,128769
780,132.34,133.16,132.29,133.0275,74190
795,133.01,133.46,132.86,133.02,69551
810,133.04,133.615,132.8176,133.615,67890
825,133.61,133.97,133.4501,133.9227,95966
840,133.97,134.28,133.56,133.6,100925
855,133.59,133.72,132.9495,133.04,89601
870,133.04,133.24,132.8,132.9705,62710
885,132.95,133.1,132.4301,132.8501,116935
900,132.95,133.4,132.65,133.295,111292
915,133.21,133.87,133.17,133.7806,164029
930,133.76,133.79,132.99,133.49,147600
945,133.455,133.455,132.83,133.175,425135
