time,open,high,low,close,volume
570,131.71,132.07,129.69,131.02,301815
585,131.005,131.12,129.35,130.5,275763
600,130.5,130.56,129.04,129.94,259165
615,129.945,131.38,129.89,131.175,142819
630,131.16,132.15,131.16,131.88,81756
645,131.875,132.87,131.7,131.905,111298
660,131.97,132.4098,131.79,132.17,48525
675,132.0738,132.2,131.05,131.4,87265
690,131.41,131.79,130.85,131.33,72451
705,131.35,131.38,130.56,130.88,62414
720,130.88,131.2199,130.81,131.055,40452
735,131.105,131.54,131.06,131.48,41280
750,131.52,131.67,131.265,131.41,37143
765,131.41,131.78,131.35,131.44,46843
780,131.455,131.84,131.28,131.82,121544
795,131.74,131.74,131.26,131.68,38113
810,131.7,131.83,131.42,131.52,37418
825,131.55,131.815,131.541,131.63,34719
840,131.642,131.83,131.56,131.6,46483
855,131.55,131.7,131.45,131.68,51591
870,131.67,131.77,131.34,131.4,43188
885,131.3801,131.67,131.3,131.3482,48097
900,131.37,131.68,131.24,131.29,116664
915,131.275,131.61,131.05,131.545,76096
930,131.55,131.93,131.44,131.61,104213
945,131.595,131.66,131.14,131.15,269334
