time,open,high,low,close,volume
570,42.37,42.46,41.76,42.38,85411
585,42.405,42.405,41.68,42.11,51993
600,42.08,42.36,42.04,42.35,80026
615,42.37,42.765,42.32,42.7649,39869
630,42.79,42.905,42.68,42.85,55517
645,42.85,43.64,42.69,42.855,170166
660,42.85,43.52,42.8112,43.255,85362
675,43.26,43.93,43.26,43.89,63325
690,43.87,44.09,43.81,43.84,94089
705,43.81,43.94,43.62,43.94,44823
720,43.92,43.93,43.62,43.6675,46828
735,43.65,43.86,43.64,43.73,79822
750,43.74,44.025,43.62,43.915,165692
765,43.915,44.06,43.86,44.0,74449
780,44.0,44.28,43.9,44.28,84760
795,44.29,44.37,44.08,44.345,60111
810,44.33,44.54,44.2,44.53,52194
825,44.52,44.7386,44.48,44.5778,86077
840,44.545,44.81,44.51,44.78,62562
855,44.77,44.92,44.72,44.9,53459
870,44.9,44.97,44.82,44.97,54310
885,44.965,45.13,44.895,45.0938,184586
900,45.075,45.21,44.95,44.98,155127
915,44.98,45.17,44.85,44.99,118801
930,44.99,45.14,44.92,45.11,116175
945,45.1,45.44,45.07,45.25,333726
