time,open,high,low,close,volume
570,28.32,28.4,28.2,28.32,349131.0
585,28.32,28.36,28.11,28.2,288976.0
600,28.2,28.2,28.07,28.2,138643.0
615,28.21,28.36,28.2001,28.275,123149.0
630,28.29,28.33,28.21,28.26,125513.0
645,28.25,28.26,28.16,28.19,146817.0
660,28.18,28.23,28.15,28.175,125880.0
675,28.18,28.18,28.07,28.08,156703.0
690,28.085,28.1,28.01,28.08,223961.0
705,28.09,28.13,28.07,28.09,75335.0
720,28.09,28.13,28.05,28.1,86841.0
735,28.11,28.17,28.08,28.15,67221.0
750,28.1501,28.17,28.1,28.15,98505.0
765,28.15,28.16,28.12,28.13,68624.0
780,28.14,28.19,28.12,28.18,74410.0
795,28.18,28.21,28.16,28.21,66785.0
810,28.21,28.23,28.1801,28.23,35195.0
825,28.23,28.24,28.2,28.22,63244.0
840,28.22,28.28,28.22,28.28,57647.0
855,28.27,28.305,28.26,28.2965,117700.0
870,28.3,28.365,28.29,28.36,64418.0
885,28.36,28.36,28.32,28.35,99911.0
900,28.345,28.38,28.345,28.38,64180.0
915,28.37,28.4,28.37,28.39,86026.0
930,28.395,28.46,28.385,28.45,263175.0
945,28.44,28.45,28.33,28.4,895566.0
