time,open,high,low,close,volume
570,25.85,26.2,25.64,26.0408,1846949
585,26.055,26.06,25.3,25.61,1326932
600,25.62,25.66,25.26,25.33,742811
615,25.34,25.345,24.87,24.8873,937419
630,24.89,25.19,24.82,25.06,800067
645,25.055,25.23,25.0335,25.1392,615885
660,25.14,25.37,25.12,25.34,721639
675,25.35,25.67,25.31,25.59,635666
690,25.6,25.67,25.44,25.585,554581
705,25.59,25.69,25.55,25.61,405710
720,25.62,25.6581,25.3675,25.415,464463
735,25.42,25.56,25.28,25.5,385639
750,25.5,25.5,25.1,25.4,462995
765,25.39,25.41,25.03,25.0881,278736
780,25.09,25.2,25.03,25.07,327658
795,25.06,25.13,24.94,25.09,408337
810,25.0804,25.23,25.06,25.112,325071
825,25.12,25.25,25.0976,25.24,245073
840,25.23,25.25,25.07,25.09,252036
855,25.095,25.37,25.035,25.33,291235
870,25.325,25.39,25.27,25.365,267880
885,25.365,25.4,25.17,25.18,453685
900,25.17,25.31,25.14,25.29,272073
915,25.2881,25.36,25.22,25.31,280180
930,25.32,25.36,25.23,25.24,361143
945,25.25,25.4,25.11,25.39,931306
