time,open,high,low,close,volume
570,313.12,313.13,311.3,312.605,77757
585,312.14,312.78,310.74,311.67,41655
600,311.42,311.78,310.59,311.6,46143
615,311.51,311.82,311.15,311.165,51650
630,311.0,312.11,310.7601,311.48,56848
645,311.3,312.28,311.12,312.11,26678
660,312.1355,312.43,311.7992,312.37,35415
675,312.45,312.635,311.78,311.78,41538
690,311.6231,311.97,311.34,311.53,51033
705,311.6,312.26,311.52,312.0,30888
720,312.12,312.85,311.95,312.29,87154
735,312.29,312.9055,311.9,312.14,95313
750,312.09,312.55,311.43,311.63,27294
765,311.4,311.7,311.2,311.7,18062
780,311.59,311.84,310.02,310.28,39917
795,310.39,310.805,310.18,310.5,29620
811,310.76,311.0754,310.3978,310.74,17673
825,310.869,310.9,310.0645,310.22,33364
840,310.22,310.3,309.5286,310.175,35978
855,310.13,310.22,309.07,309.23,27801
870,309.32,309.51,308.751,308.82,41833
885,308.75,309.08,308.349,308.995,50821
900,309.08,309.08,307.55,307.83,53072
915,307.7,308.51,307.4858,307.83,36302
930,307.74,308.06,307.0,307.17,51495
945,307.38,307.38,306.31,306.75,135660
