time,open,high,low,close,volume
570,58.6,59.42,58.19,58.61,130735
585,58.62,59.2,58.54,59.2,79440
600,59.2,59.85,59.0,59.51,67842
615,59.54,60.11,59.19,60.11,57338
630,60.01,60.4,59.89,60.0399,27322
645,59.99,61.41,59.9001,60.89,48410
660,61.09,61.09,60.33,60.44,20540
675,60.53,60.67,60.0,60.24,24367
690,60.25,60.4294,60.0,60.28,39620
705,60.23,60.5,60.0,60.41,50815
720,60.35,60.4799,59.94,60.4,51729
735,60.45,61.03,60.45,61.03,13400
750,61.03,61.38,61.02,61.2,17486
765,61.19,61.27,60.64,60.69,27914
780,60.64,60.98,60.48,60.98,28600
795,60.95,61.1186,60.55,61.0,56509
810,61.08,61.08,60.4,60.5,22863
825,60.5,60.54,60.0,60.46,25410
840,60.48,60.8986,60.266,60.49,8450
855,60.48,60.95,59.11,59.97,63174
870,60.11,60.11,58.0,58.22,37110
885,58.25,60.6,58.24,60.3,97550
900,60.34,60.99,59.93,60.9,51856
915,60.85,61.3,60.4,60.99,60245
930,60.99,61.78,60.85,61.61,85202
945,61.67,63.46,61.65,63.18,94171
