time,open,high,low,close,volume
570,43.24,43.71,43.17,43.375,354110
585,43.37,43.97,43.37,43.96,428424
600,43.965,44.265,43.95,44.135,410290
615,44.135,44.24,43.93,43.99,322482
630,43.99,43.99,43.24,43.72,285993
645,43.72,43.94,43.62,43.83,214059
660,43.83,43.99,43.59,43.9,248231
675,43.89,43.89,43.6101,43.75,232569
690,43.735,44.055,43.7,44.0486,366132
705,44.06,44.11,43.845,44.035,417388
720,44.04,44.04,43.71,43.73,224264
735,43.735,43.81,43.555,43.665,376256
750,43.655,43.75,43.5,43.61,221519
765,43.61,43.685,43.44,43.45,190273
780,43.45,43.8,43.45,43.715,165404
795,43.72,43.865,43.63,43.83,126808
810,43.84,44.065,43.835,43.93,224787
825,43.92,43.96,43.79,43.82,256050
840,43.79,43.8,42.225,42.83,840884
855,42.81,43.02,42.64,42.88,656947
870,42.87,42.97,42.01,42.79,696230
885,42.83,42.83,42.305,42.49,403911
900,42.4732,43.44,42.375,43.28,652169
915,43.27,43.32,42.54,42.55,743285
930,42.54,42.69,42.36,42.69,820506
945,42.68,43.015,42.52,42.62,1905574
