time,open,high,low,close,volume
570,202.0,203.9,197.0,200.34,1960322.0
585,200.5,203.2233,199.31,201.47,1076102.0
600,201.65,201.825,199.63,200.0275,544428.0
615,200.0201,200.42,198.34,198.8489,523686.0
630,198.85,199.9,198.0,199.8143,467526.0
645,199.86,200.34,198.5,200.19,475465.0
660,200.19,200.52,199.23,200.43,370746.0
675,200.45,200.46,197.07,198.1476,364074.0
690,198.27,200.2,197.715,199.8185,312691.0
705,199.82,200.46,199.6,199.93,238966.0
720,199.93,200.52,199.825,200.24,153216.0
735,200.24,200.5,199.81,200.1312,134019.0
750,200.165,200.34,199.81,199.94,157331.0
765,199.9359,200.05,198.36,199.22,241349.0
780,199.225,199.365,198.31,198.365,115830.0
795,198.34,199.1473,197.83,198.99,139084.0
810,198.95,198.95,197.63,198.42,111378.0
825,198.385,198.42,196.0101,196.45,158017.0
840,196.46,196.925,195.35,195.36,218242.0
855,195.36,195.6,194.5,194.5301,237632.0
870,194.65,196.91,194.09,196.41,208276.0
885,196.455,196.735,195.54,195.85,150438.0
900,195.95,196.12,195.035,195.2215,126032.0
915,195.215,195.26,193.7705,194.255,191101.0
930,194.255,194.255,192.18,194.09,329152.0
945,194.09,197.83,194.02,196.9,615459.0
