time,open,high,low,close,volume
570,127.75,130.2389,127.25,129.4,631684
585,129.47,130.17,128.9473,129.5,319482
600,129.52,131.295,129.25,130.92,358538
615,130.99,132.83,130.98,132.545,362500
630,132.51,132.99,131.9,132.935,315032
645,132.95,132.95,132.02,132.5,264902
660,132.5,132.57,131.37,132.19,266824
675,132.2,132.6179,132.1,132.26,165992
690,132.195,132.2,130.85,131.12,178195
705,131.12,131.48,130.98,131.3399,168126
720,131.35,131.35,130.6401,130.73,128716
735,130.81,131.2384,130.73,130.99,84903
750,131.0,131.11,130.35,130.42,100478
765,130.43,130.635,130.05,130.3438,145301
780,130.34,130.91,130.04,130.7301,161170
795,130.7497,131.15,130.58,131.01,78538
810,131.005,131.31,130.72,130.765,72896
825,130.74,131.09,130.41,130.72,65241
840,130.76,130.89,130.52,130.73,55514
855,130.76,130.89,130.5137,130.7,60964
870,130.685,130.985,130.44,130.83,69834
885,130.845,131.55,130.76,131.505,73207
900,131.505,131.78,131.13,131.53,108627
915,131.55,131.95,131.495,131.71,134675
930,131.73,131.92,131.46,131.83,186372
945,131.85,132.06,130.93,131.0,881469
