time,open,high,low,close,volume
570,38.5,40.11,37.65,38.7087,2466127
585,38.6301,41.5212,38.38,40.1701,2698469
600,40.24,40.5499,39.4312,40.02,1098001
615,39.985,40.91,39.9601,40.76,1234085
630,40.7576,41.12,40.43,40.58,1084846
645,40.58,40.59,39.92,40.3,863968
660,40.3,40.78,40.24,40.53,556758
675,40.525,41.35,40.5,41.32,733321
690,41.32,42.0998,41.28,41.35,1204433
705,41.33,41.7271,41.05,41.35,531776
720,41.29,41.36,40.93,40.945,349361
735,40.96,41.1,40.62,40.625,332947
750,40.64,40.65,40.24,40.3508,406865
765,40.35,40.475,39.67,40.44,674669
780,40.46,40.55,39.9,39.98,367073
795,39.94,40.04,39.62,40.015,422841
810,40.03,40.2354,40.0,40.02,282209
825,40.04,40.1654,39.67,40.095,496555
840,40.05,40.08,38.8,38.815,808046
855,38.815,39.44,38.77,38.82,709361
870,38.835,39.98,38.23,39.89,761144
885,39.8801,40.6899,39.65,40.41,683347
900,40.44,40.9299,39.99,40.92,786578
915,40.9219,41.2396,40.6612,40.8892,853012
930,40.89,41.52,40.56,41.43,788747
945,41.45,41.67,41.275,41.615,1540951
