time,open,high,low,close,volume
570,15.85,15.92,15.76,15.8,11842
585,15.83,15.85,15.64,15.64,28059
600,15.65,15.74,15.6,15.61,21269
615,15.61,15.62,15.54,15.54,17406
630,15.55,15.5665,15.5,15.5,7290
645,15.51,15.58,15.5,15.57,9753
660,15.56,15.71,15.56,15.65,11706
675,15.68,15.83,15.68,15.76,14644
690,15.76,15.79,15.75,15.7898,7090
705,15.788,15.79,15.74,15.79,6000
720,15.785,15.82,15.77,15.81,5694
735,15.8,15.85,15.8,15.84,17291
750,15.84,15.89,15.8301,15.88,10967
765,15.89,15.95,15.878,15.9399,12710
780,15.94,15.99,15.929,15.99,12870
796,15.99,15.99,15.86,15.86,17843
810,15.86,15.8699,15.75,15.76,12732
825,15.75,15.8,15.72,15.76,9302
840,15.78,15.84,15.78,15.83,3500
855,15.83,15.87,15.81,15.86,54730
870,15.85,15.905,15.85,15.89,9699
885,15.89,15.95,15.89,15.92,20830
900,15.92,15.99,15.92,15.98,20253
915,15.98,15.99,15.96,15.97,18746
930,15.98,15.98,15.93,15.9499,25917
945,15.95,16.07,15.95,16.06,84116
