time,open,high,low,close,volume
570,2.97,2.97,2.94,2.945,3257876
585,2.945,2.96,2.94,2.95,3985400
600,2.96,2.96,2.94,2.96,2333943
615,2.96,2.99,2.95,2.9875,4391169
630,2.99,2.99,2.98,2.985,1908753
645,2.98,2.99,2.97,2.975,3502800
660,2.97,2.99,2.97,2.98,5891869
675,2.98,3.0,2.97,2.99,6640091
690,2.995,3.0,2.98,2.99,2430654
705,2.995,3.0,2.98,2.98,4495870
720,2.99,3.0,2.98,2.985,1891894
735,2.98,3.0,2.98,2.985,3185515
750,2.985,3.0,2.98,3.0,2007356
765,3.0,3.0,2.99,2.995,1396883
780,2.995,3.0,2.99,3.0,965963
795,2.995,3.0,2.99,2.995,1228467
810,2.99,3.0,2.99,2.995,551797
825,2.99,3.0,2.99,2.99,503567
840,2.995,3.0,2.99,2.99,598026
855,2.995,3.0,2.98,2.99,6510094
870,2.99,3.0,2.99,2.99,1460052
885,2.995,3.01,2.98,2.9945,10412970
900,2.99,3.0,2.98,2.99,3452994
915,2.99,3.0,2.98,2.98,2169530
930,2.98,3.0,2.97,2.97,3210849
945,2.97,2.98,2.96,2.96,4875483
