time,open,high,low,close,volume
570,39.66,40.43,39.65,40.14,413323
585,40.15,40.25,39.95,40.235,93242
600,40.22,40.34,40.1,40.23,122606
615,40.22,40.27,39.811,39.985,49078
630,39.98,40.2,39.97,40.17,40142
645,40.15,40.16,39.875,40.05,51418
661,40.02,40.11,39.99,40.07,27141
675,40.075,40.1,40.01,40.01,24542
690,40.015,40.17,39.98,40.15,47955
705,40.15,40.25,40.06,40.09,53140
720,40.08,40.12,40.01,40.06,33611
735,40.03,40.065,39.79,39.8,72244
750,39.82,40.08,39.78,39.95,172215
766,39.97,40.0,39.94,40.0,14002
780,40.0,40.01,39.95,40.01,21190
795,39.99,40.18,39.96,40.14,27929
810,40.19,40.38,40.19,40.23,26708
825,40.23,40.23,40.145,40.215,44141
840,40.225,40.24,40.11,40.125,21722
855,40.11,40.12,39.99,39.99,21820
870,39.995,40.01,39.91,39.93,38979
885,39.91,40.14,39.9,40.06,48915
901,40.07,40.09,39.95,39.95,28611
915,39.96,40.05,39.94,39.97,40552
931,39.97,40.01,39.9,39.9,64473
945,39.9,39.92,39.75,39.77,130282
