time,open,high,low,close,volume
570,86.9,86.97,86.24,86.56,38563
585,86.555,86.69,86.29,86.37,68261
600,86.38,86.52,86.24,86.44,52761
615,86.53,86.78,86.4,86.48,21150
630,86.47,86.88,86.39,86.775,15623
645,86.75,86.81,86.625,86.78,15180
660,86.74,86.88,86.54,86.855,15782
676,86.86,87.35,86.81,87.34,32670
690,87.34,87.56,87.33,87.56,20939
705,87.55,87.56,87.171,87.24,21549
720,87.22,87.22,86.95,86.99,13383
735,87.05,87.05,86.84,86.94,23702
750,86.92,87.39,86.92,87.2,16210
765,87.22,87.35,87.15,87.2,15309
780,87.19,87.19,86.9,86.9,21505
795,86.875,86.93,86.84,86.92,14602
810,86.96,86.97,86.83,86.84,53008
825,86.84,87.06,86.82,87.06,48227
840,87.04,87.09,86.85,86.9,22559
855,86.86,87.09,86.83,87.09,50273
870,87.12,87.3,87.12,87.29,27402
885,87.28,87.29,87.09,87.27,40154
900,87.26,87.49,87.24,87.38,41436
915,87.38,87.43,87.26,87.27,37083
930,87.27,87.37,87.255,87.29,49489
945,87.28,87.3,87.01,87.14,94058
