time,open,high,low,close,volume
570,75.99,76.1964,74.03,74.6,445639
585,74.65,75.12,74.5,74.94,170085
600,74.92,75.25,74.33,74.335,147369
615,74.3,74.58,74.15,74.365,134212
630,74.37,74.41,73.515,73.6,168062
645,73.63,73.75,73.27,73.38,132884
660,73.36,73.42,73.16,73.22,92404
675,73.2,73.26,72.86,73.05,148514
690,73.05,73.34,72.89,72.91,149550
705,72.92,73.08,72.73,72.81,210246
720,72.805,72.96,72.7,72.95,231280
735,72.95,73.0691,72.66,72.76,166745
750,72.76,72.86,72.42,72.44,138922
765,72.42,72.7,72.29,72.614,121655
780,72.61,72.73,72.39,72.66,132341
795,72.67,72.94,72.63,72.88,86208
810,72.88,73.3,72.86,73.18,134196
825,73.17,74.16,73.14,73.955,201077
840,73.96,74.1,73.82,73.84,142664
855,73.84,73.86,73.52,73.63,140794
870,73.62,74.19,73.59,74.04,122030
885,74.03,74.05,73.85,73.95,88385
900,73.96,74.16,73.77,73.92,126997
915,73.925,74.31,73.815,73.86,147209
930,73.87,74.04,73.76,73.94,193907
945,73.93,74.12,73.68,73.69,521958
