time,open,high,low,close,volume
570,125.26,126.33,123.82,126.14,65030
585,126.025,127.19,126.025,126.97,93295
600,126.72,127.36,126.24,127.29,82811
615,127.17,128.7,127.155,128.16,218010
630,128.28,129.3,128.27,129.17,150312
645,129.1,129.25,128.42,129.01,73014
660,128.97,129.1,127.75,128.16,68809
675,128.21,128.22,127.21,127.71,54331
690,127.62,128.06,127.48,127.83,29247
705,127.71,128.1199,126.89,127.21,66227
720,127.12,127.12,126.08,126.51,104938
735,126.64,126.64,125.29,125.39,95053
751,125.4006,125.55,124.17,125.155,85718
765,125.205,125.6399,124.4,125.3,40203
780,125.38,125.6999,124.94,125.17,22645
796,125.08,125.19,124.31,124.65,35194
810,124.65,124.65,123.38,123.61,124669
825,123.6,123.76,122.6626,123.125,85679
840,123.09,123.27,122.11,122.51,77362
855,122.6,123.48,121.83,123.3442,61244
870,123.335,123.92,123.01,123.695,68539
885,123.63,124.33,123.52,123.925,58991
900,124.07,124.16,123.13,123.44,45226
915,123.5299,123.94,123.22,123.34,83966
930,123.315,123.56,122.81,123.31,78853
945,123.37,123.48,122.85,123.45,104852
